"Guards against one host farming SMS sends across many numbers. Keep this well above the per-phone limit — Egyptian mobile carriers put many genuine shoppers behind a single shared address.","Guards against one host farming SMS sends across many numbers. Keep this well above the per-phone limit — Egyptian mobile carriers put many genuine shoppers behind a single shared address."
"Hide password","Hide password"
"How long after a successful OTP the shopper has to finish registration or set a new password. Default 900 (15 minutes).","How long after a successful OTP the shopper has to finish registration or set a new password. Default 900 (15 minutes)."
"How long an issued code stays valid. Default 300 (5 minutes).","How long an issued code stays valid. Default 300 (5 minutes)."
"Invalid request method.","Invalid request method."
"Last name","Last name"
"Log only — writes to var/log, sends no SMS (staging)","Log only — writes to var/log, sends no SMS (staging)"
"Max Sends Per IP Per Window","Max Sends Per IP Per Window"
"Max Sends Per Phone Per Window","Max Sends Per Phone Per Window"
"Max Verify Attempts Per Code","Max Verify Attempts Per Code"
"Minimum gap between two sends to the same number. Also drives the countdown on the Resend button.","Minimum gap between two sends to the same number. Also drives the countdown on the Resend button."
"My account","My account"
"New password","New password"
"Next","Next"
"Number of digits in the OTP. Lower this only together with Max Verify Attempts — a short code with a generous attempt cap is brute-forceable.","Number of digits in the OTP. Lower this only together with Max Verify Attempts — a short code with a generous attempt cap is brute-forceable."
"One moment please!","One moment please!"
"One-Time Password","One-Time Password"
"Or continue with","Or continue with"
"Password","Password"
"Phone Authentication","Phone Authentication"
"Phone number","Phone number"
"Pick a new password for your account.","Pick a new password for your account."
"Placeholder Email Domain","Placeholder Email Domain"
"Please confirm your new password","Please confirm your new password"
"Please confirm your new password.","Please confirm your new password."
"Please confirm your password","Please confirm your password"
"Please confirm your password.","Please confirm your password."
"Please don't close this page.","Please don't close this page."
"Please enter a new password.","Please enter a new password."
"Please enter a password.","Please enter a password."
"Please enter a valid Egyptian mobile number, for example 01012345678.","Please enter a valid Egyptian mobile number, for example 01012345678."
"Please enter a valid local mobile number.","Please enter a valid local mobile number."
"Please enter a valid phone number.","Please enter a valid phone number."
"Please enter an Egyptian mobile number, for example 01012345678.","Please enter an Egyptian mobile number, for example 01012345678."
"Please enter the full verification code.","Please enter the full verification code."
"Please enter your first name","Please enter your first name"
"Please enter your first name.","Please enter your first name."
"Please enter your last name","Please enter your last name"
"Please enter your last name.","Please enter your last name."
"Please enter your new password","Please enter your new password"
"Please enter your password","Please enter your password"
"Please enter your phone number","Please enter your phone number"
"Please enter your phone number.","Please enter your phone number."
"Please fill in all required fields.","Please fill in all required fields."
"Please verify your phone number first.","Please verify your phone number first."
"Please wait %1 seconds before requesting another code.","Please wait %1 seconds before requesting another code."
"Purge OTP Records After (days)","Purge OTP Records After (days)"
"Rate Limit Window (seconds)","Rate Limit Window (seconds)"
"Resend code","Resend code"
"Resend Cooldown (seconds)","Resend Cooldown (seconds)"
"Reset your password","Reset your password"
"Save password","Save password"
"Send code","Send code"
"Sender ID","Sender ID"
"Show password","Show password"
"Sign in now and buy the items you saved in your cart.","Sign in now and buy the items you saved in your cart."
"Sign in","Sign in"
"Sign up","Sign up"
"Signed in successfully.","Signed in successfully."
"SMS delivery is not configured on this environment. The code was written to the server log.","SMS delivery is not configured on this environment. The code was written to the server log."
"SMS Delivery","SMS Delivery"
"Something went wrong. Please try again.","Something went wrong. Please try again."
"SpareTrak: %1 is your password reset code. It expires in %2 minutes. If you did not request this, ignore this message.","SpareTrak: %1 is your password reset code. It expires in %2 minutes. If you did not request this, ignore this message."
"SpareTrak: %1 is your verification code. It expires in %2 minutes. Never share it with anyone.","SpareTrak: %1 is your verification code. It expires in %2 minutes. Never share it with anyone."
"That code has expired. Please request a new one.","That code has expired. Please request a new one."
"That code is incorrect. %1 attempts remaining.","That code is incorrect. %1 attempts remaining."
"That code is not valid. Please request a new one.","That code is not valid. Please request a new one."
"The account is locked.","The account is locked."
"The alphanumeric sender the SMS appears to come from. Egyptian carriers require this to be pre-registered with the provider before it will deliver.","The alphanumeric sender the SMS appears to come from. Egyptian carriers require this to be pre-registered with the provider before it will deliver."
"The code expires in %1 minutes.","The code expires in %1 minutes."
"The passwords do not match.","The passwords do not match."
"The phone number or password is incorrect.","The phone number or password is incorrect."
"The rolling window both limits above are counted over. Default 3600 (1 hour).","The rolling window both limits above are counted over. Default 3600 (1 hour)."
"This account isn't confirmed. Verify and try again.","This account isn't confirmed. Verify and try again."
"This form is not configured correctly. Please refresh the page.","This form is not configured correctly. Please refresh the page."
"This verification request is not valid.","This verification request is not valid."
"Too many incorrect attempts. Please request a new code.","Too many incorrect attempts. Please request a new code."
"Too many verification requests from your connection. Please try again later.","Too many verification requests from your connection. Please try again later."
"Use a different number","Use a different number"
"Verification code","Verification code"
"Verification Proof Lifetime (seconds)","Verification Proof Lifetime (seconds)"
"Verify","Verify"
"We could not send your verification code right now. Please try again in a moment.","We could not send your verification code right now. Please try again in a moment."
"We have sent a verification code to your phone number.","We have sent a verification code to your phone number."
"We sent a new code.","We sent a new code."
"We sent a verification code to your phone.","We sent a verification code to your phone."
"We will send a verification code to this number.","We will send a verification code to this number."
"Welcome back!","Welcome back!"
"You are already signed in.","You are already signed in."
"You have requested too many codes for this number. Please try again later or contact support.","You have requested too many codes for this number. Please try again later or contact support."
"You will be signed out on any other devices.","You will be signed out on any other devices."
"Your account is being created. Please don't close this page.","Your account is being created. Please don't close this page."
"Your account is ready.","Your account is ready."
"Your password has been changed and you are signed in. Any other devices have been signed out.","Your password has been changed and you are signed in. Any other devices have been signed out."
"Your phone number is verified.","Your phone number is verified."
"Your verification has expired. Please start again.","Your verification has expired. Please start again."
"Your verification has expired. Please verify your phone number again.","Your verification has expired. Please verify your phone number again."
